context,Agama,Aparatur Negara,Tata Ruang,Bidang Lain,Transmigrasi,ESDM,Hukum dan HAM,Kelautan,Kemendagri,Kesehatan,Ketenagakerjaan,Keuangan,Komunikasi,Koperasi dan UKM,Legislatif,Lingkungan Hidup,Pariwisata,Pekerjaan Umum,Pemerintah,Pemuda dan Olahraga,Pendidikan,Perdagangan,Perhubungan,Pertahanan,Pertanian,Teknologi,Sosial
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah provinsi kalimantan tengah,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah provinsi kalimantan selatan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pemerasan kejaksaan tinggi sumatera utara,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara badan pertanahan nasional (bpn),0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten kampar,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gratifikasi pemerintah kota banjarmasin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara badan pertanahan nasional (bpn),0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kota tasikmalaya,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
penyuapan pt. pertamina,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara badan pertanahan nasional (bpn),0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penyuapan pemerintah kabupaten kotawaringin timur,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten cilacap,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pt. kereta api indonesia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tindak pidana lain yang berkaitan dengan tindak pidana korupsi ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten buleleng,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
penyuapan pemerintah kabupaten kendal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kota gunung sitoli,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
penyuapan pemerintah kabupaten barito utara,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah provinsi sumatera selatan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kota bekasi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tindak pidana lain yang berkaitan dengan tindak pidana korupsi pemerintah provinsi dki jakarta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kota bandung,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kota bau-bau,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kota medan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara kementerian pemuda dan olahraga,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten kepulauan talaud,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten kaimana,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
penyuapan dewan perwakilan daerah (dpd),0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten kepulauan sula,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
pemerasan pemerintah kota bekasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pemerasan badan nasional penempatan dan perlindungan tenaga kerja indonesia (bnp2tki),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara kementerian pendidikan nasional,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kota palembang,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
penyuapan kejaksaan negeri jakarta pusat,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara bank indonesia,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penyuapan pemerintah provinsi sulawesi tenggara,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penyuapan pemerintah kabupaten situbondo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara kepolisian daerah nusa tenggara timur,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pemerasan dewan perwakilan rakyat daerah kabupaten bone bolango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
penyuapan pemerintah kabupaten konawe utara,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
penyuapan pemerintah kabupaten murung raya,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara sekretariat negara,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten malang,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten sragen,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gratifikasi pemerintah kabupaten kotawaringin timur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tindak pidana lain yang berkaitan dengan tindak pidana korupsi pemerintah provinsi sumatera utara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten penajam pasir utara,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten bengkalis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah provinsi sumatera selatan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tindak pidana lain yang berkaitan dengan tindak pidana korupsi pemerintah kabupaten sambas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara dewan perwakilan rakyat daerah provinsi kalimantan barat,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
penyuapan pemerintah kota palembang,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten rejang lebong,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
penyuapan pemerintah kabupaten seram bagian timur,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten rejang lebong,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tindak pidana lain yang berkaitan dengan tindak pidana korupsi pt. sucofindo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten minahasa selatan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara dewan perwakilan rakyat daerah provinsi kalimantan barat,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah provinsi dki jakarta,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penyuapan kejaksaan negeri jakarta pusat,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pt. hutama karya,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten sambas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
penyuapan mahkamah agung,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tindak pidana lain yang berkaitan dengan tindak pidana korupsi pemerintah kabupaten lombok barat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kota manado,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kota sibolga,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara badan pengawas pemilihan umum,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara kementerian pendidikan nasional,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten barru,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pt. pelindo ii,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten padang lawas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten bogor,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pemerasan pemerintah kabupaten lombok barat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kota gorontalo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten halmahera barat,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah provinsi dki jakarta,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penyuapan pemerintah kota bekasi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah provinsi jawa timur,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara kementerian negara bumn,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tindak pidana lain yang berkaitan dengan tindak pidana korupsi bank indonesia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penyuapan pengadilan negeri medan,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten tabanan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pt. pertamina,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten kepulauan sitaro,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten simeulue,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tindak pidana lain yang berkaitan dengan tindak pidana korupsi mahkamah konstitusi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara kepolisian resor toli-toli,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
tindak pidana lain yang berkaitan dengan tindak pidana korupsi pemerintah kota manado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara kementerian agama,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten toba samosir,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pemerasan pemerintah provinsi banten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara kejaksaan negeri singaraja,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten mamuju utara,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara dpr-ri,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten pelalawan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara kementerian pendidikan nasional,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pemerasan pemerintah kabupaten mojokerto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pemerasan pemerintah kabupaten mojokerto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten alor,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara kementerian sosial,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah provinsi dki jakarta,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tindak pidana lain yang berkaitan dengan tindak pidana korupsi pemerintah kota surabaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara kejaksaan agung republik indonesia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara kejaksaan agung republik indonesia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kota pontianak,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pt. pertamina,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kota mojokerto,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gratifikasi pemerintah kabupaten simeulue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten lanny jaya,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tindak pidana lain yang berkaitan dengan tindak pidana korupsi pt. semen gresik tbk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kota padang panjang,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten sekadau,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah provinsi sulawesi barat,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tindak pidana lain yang berkaitan dengan tindak pidana korupsi pemerintah kota bandung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten wonosobo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kota mataram,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten gayo lues,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara kementerian kesehatan,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten sampang,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pemerasan kejaksaan tinggi jawa tengah,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penyuapan pemerintah kabupaten banyuasin,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten sidenreng rappang,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten tapanuli utara,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
penyuapan pengadilan negeri malang,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten alor,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
penyuapan mahkamah konstitusi,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten asahan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pt. perusahaan listrik negara,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penyuapan pemerintah kabupaten situbondo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pt. pertamina,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten banyuwangi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten aceh selatan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
penyuapan pt. pertamina,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
penyuapan pengadilan tinggi tata usaha negara surabaya,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tindak pidana lain yang berkaitan dengan tindak pidana korupsi pemerintah kabupaten padang lawas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten asahan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah kabupaten nunukan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gratifikasi pemerintah kota samarinda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara kementerian negara pembangunan daerah tertinggal,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perbuatan melawan hukum / menyalahgunakan wewenang yang mengakibatkan kerugian negara pemerintah provinsi sumatera utara,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
